id,order_id,product_id,variant_1,quantity,owner_id,deleted
100,30,1,16gb,1,22220,0
101,30,2,16gb,1,22220,0
102,31,3,16gb,1,22220,0
103,31,3,32gb,1,22220,0
104,32,1,16gb,1,22220,0
105,32,2,16gb,1,22220,0
106,32,3,16gb,1,22220,0
107,32,5,16gb,1,22220,0
108,32,6,16gb,1,22220,0
109,32,7,32gb,1,22220,0
110,32,8,512gb,1,22220,0
111,33,4,16gb,3,22220,0
112,34,1,16gb,1,22220,0
113,34,2,16gb,1,22220,0
114,34,1,16gb,1,22220,0
115,35,7,32gb,1,22220,0
116,36,4,16gb,1,22220,0
117,37,4,16gb,1,22220,0
118,38,4,16gb,1,22220,0
119,38,6,16gb,1,22220,0
120,38,8,16gb,1,22220,0
121,39,1,16gb,1,22220,0
122,39,1,16gb,3,22220,0
123,40,1,16gb,1,22220,0
124,40,2,16gb,1,22220,0
125,40,3,16gb,1,22220,0
126,40,4,16gb,2,22220,0
127,40,5,16gb,1,22220,0
128,40,6,16gb,1,22220,0
129,40,7,16gb,1,22220,0
130,40,8,16gb,1,22220,0
131,40,9,16gb,1,22220,0
132,40,1,32gb,1,22220,0
133,40,2,32gb,1,22220,0
134,40,3,32gb,1,22220,0
135,40,4,32gb,1,22220,0
136,40,5,32gb,1,22220,0
137,40,6,32gb,1,22220,0
138,40,7,32gb,1,22220,0
139,40,8,32gb,1,22220,0
140,40,9,32gb,1,22220,0
141,41,4,32gb,1,22220,0
142,41,5,16gb,1,22220,0
143,42,9,16gb,1,22220,0
